,material_id,metal,anion,formula,oxidationstate,name
261,mp-2033,Ni,N,Ni6 N2,1.0,mp-2033Ni6_N2
262,mp-570136,Cu,I,Cu6 I6,1.0,mp-570136Cu6_I6
263,mp-1225654,Cu,Cl,Cu1 Cl1,1.0,mp-1225654Cu1_Cl1
264,mp-30999,Cu,Cl,Cu1 Cl2,2.0,mp-30999Cu1_Cl2
265,mp-23219,Cu,Br,Cu1 Br2,2.0,mp-23219Cu1_Br2
266,mp-22913,Cu,Br,Cu1 Br1,1.0,mp-22913Cu1_Br1
267,mp-1229,Cu,F,Cu2 F4,2.0,mp-1229Cu2_F4
268,mp-361,Cu,O,Cu4 O2,1.0,mp-361Cu4_O2
269,mp-1692,Cu,O,Cu2 O2,2.0,mp-1692Cu2_O2
270,mp-771359,Cu,O,Cu16 O24,3.0,mp-771359Cu16_O24
271,mp-849086,Cu,S,Cu2 S4,4.0,mp-849086Cu2_S4
272,mp-555599,Cu,S,Cu6 S6,2.0,mp-555599Cu6_S6
273,mp-624299,Cu,S,Cu28 S16,1.1428571428571428,mp-624299Cu28_S16
274,mp-27161,Zn,I,Zn16 I32,2.0,mp-27161Zn16_I32
275,mp-22909,Zn,Cl,Zn2 Cl4,2.0,mp-22909Zn2_Cl4
276,mp-647579,Zn,Br,Zn16 Br32,2.0,mp-647579Zn16_Br32
277,mp-1873,Zn,F,Zn2 F4,2.0,mp-1873Zn2_F4
278,mp-2133,Zn,O,Zn2 O2,2.0,mp-2133Zn2_O2
279,mp-10695,Zn,S,Zn1 S1,2.0,mp-10695Zn1_S1
280,mp-1102743,Zn,S,Zn4 S8,4.0,mp-1102743Zn4_S8
281,mp-9460,Zn,N,Zn24 N16,2.0,mp-9460Zn24_N16
282,mp-571442,Y,I,Y2 I6,3.0,mp-571442Y2_I6
283,mp-27455,Y,Cl,Y2 Cl6,3.0,mp-27455Y2_Cl6
284,mp-27678,Y,Cl,Y4 Cl6,1.5,mp-27678Y4_Cl6
285,mp-754815,Y,Br,Y2 Br6,3.0,mp-754815Y2_Br6
286,mp-1205567,Y,Br,Y4 Br6,1.5,mp-1205567Y4_Br6
287,mp-2416,Y,F,Y4 F12,3.0,mp-2416Y4_F12
288,mp-2652,Y,O,Y16 O24,3.0,mp-2652Y16_O24
289,mp-541289,Y,S,Y12 S18,3.0,mp-541289Y12_S18
290,mp-15670,Y,S,Y5 S7,2.8,mp-15670Y5_S7
291,mp-1534,Y,S,Y1 S1,2.0,mp-1534Y1_S1
292,mp-2114,Y,N,Y1 N1,3.0,mp-2114Y1_N1
293,mp-570188,Zr,I,Zr4 I12,3.0,mp-570188Zr4_I12
